School Name,District Name,County,Enrollment Total,Internet Access Rate,Device Access Rate,Lack Internet Total,Lack Device Total,Provided Internet Rate,Provided Device Rate,Provided Internet Total,Provided Device Total,Home Internet Total,Home Device Total,White Percentage,Black Percentage,Latinx Percentage,Asian Percentage,Native Percentage,Multiracial Percentage
ITHACA SENIOR HIGH SCHOOL,ITHACA,TOMPKINS,1294,100.0%,100.0%,0,0,2.3%,100.0%,30,1294,1264,0,63.1%,6.9%,7.0%,11.0%,0.0%,12.0%
LEHMAN ALTERNATIVE COMM SCHOOL,ITHACA,TOMPKINS,276,100.0%,100.0%,0,0,3.9%,100.0%,10,276,248,0,77.3%,4.7%,4.7%,3.2%,0.4%,9.7%
NORTHEAST SCHOOL,ITHACA,TOMPKINS,378,100.0%,100.0%,0,0,0.3%,100.0%,1,378,377,0,52.1%,6.8%,8.2%,25.5%,0.0%,7.4%
SOUTH HILL SCHOOL,ITHACA,TOMPKINS,364,99.7%,100.0%,1,0,1.9%,100.0%,7,364,356,0,75.1%,2.9%,7.2%,5.1%,0.0%,9.6%
IVY HILL PREP CHARTER SCHOOL,IVY HILL PREP CHARTER SCHOOL,KINGS,173,100.0%,NA,0,0,2.9%,NA,5,0,168,0,2.3%,88.6%,6.3%,1.7%,0.0%,1.1%
ABRAHAM LINCOLN ELEM SCHOOL,JAMESTOWN,CHAUTAUQUA,396,92.2%,83.6%,31,65,0.0%,73.5%,0,291,365,40,77.5%,1.8%,13.7%,0.8%,0.3%,6.1%
CARLYLE C RING ELEMENTARY SCHOOL,JAMESTOWN,CHAUTAUQUA,408,100.0%,78.7%,0,86,0.0%,78.7%,0,318,408,0,56.1%,2.0%,30.6%,0.8%,0.0%,10.5%
CLINTON V BUSH ELEMENTARY SCHOOL,JAMESTOWN,CHAUTAUQUA,306,91.2%,94.1%,27,18,0.0%,82.0%,0,251,279,37,66.2%,3.7%,22.4%,0.3%,0.0%,7.4%
GEORGE WASHINGTON MIDDLE SCHOOL,JAMESTOWN,CHAUTAUQUA,503,98.6%,100.0%,7,0,0.0%,100.0%,0,503,496,0,48.5%,2.8%,35.0%,0.6%,0.4%,12.7%
JAMESTOWN HIGH SCHOOL,JAMESTOWN,CHAUTAUQUA,1308,98.5%,100.0%,20,0,0.0%,90.7%,0,1186,1288,122,60.0%,3.8%,24.1%,0.2%,0.4%,11.5%
MILTON J FLETCHER ELEMENTARY SCHOOL,JAMESTOWN,CHAUTAUQUA,487,94.5%,70.8%,27,142,0.0%,70.8%,0,345,460,0,62.4%,2.9%,18.5%,0.4%,0.4%,15.4%
PERSELL MIDDLE SCHOOL,JAMESTOWN,CHAUTAUQUA,446,97.1%,100.0%,13,0,0.0%,100.0%,0,446,429,0,69.5%,2.9%,15.2%,0.2%,0.0%,12.2%
SAMUEL G LOVE ELEMENTARY SCHOOL,JAMESTOWN,CHAUTAUQUA,346,86.7%,77.7%,46,77,0.0%,74.0%,0,256,300,13,42.2%,6.4%,42.5%,0.0%,0.0%,9.0%
THOMAS JEFFERSON MIDDLE SCHOOL,JAMESTOWN,CHAUTAUQUA,436,99.8%,100.0%,1,0,0.0%,100.0%,0,436,435,0,69.9%,2.9%,18.8%,0.2%,0.2%,8.0%
JAMESVILLE ELEMENTARY SCHOOL,JAMESVILLE-DEWITT,ONONDAGA,302,100.0%,100.0%,0,0,0.7%,42.7%,2,128,299,172,69.2%,3.4%,2.7%,14.4%,0.3%,9.9%
JAMESVILLE-DEWITT HIGH SCHOOL,JAMESVILLE-DEWITT,ONONDAGA,943,100.0%,100.0%,0,0,1.3%,26.2%,12,247,926,697,76.4%,7.0%,3.3%,9.3%,0.3%,3.7%
