School Name,District Name,County,Enrollment Total,Internet Access Rate,Device Access Rate,Lack Internet Total,Lack Device Total,Provided Internet Rate,Provided Device Rate,Provided Internet Total,Provided Device Total,Home Internet Total,Home Device Total,White Percentage,Black Percentage,Latinx Percentage,Asian Percentage,Native Percentage,Multiracial Percentage
MS 180 DR DANIEL HALE WILLIAMS,NYC DOE,BRONX,985,100.0%,100.0%,0,0,96.0%,96.0%,946,946,39,39,2.7%,64.3%,27.2%,3.1%,1.1%,1.5%
MS 224 MANHATTAN EAST,NYC DOE,NEW YORK,203,78.3%,78.8%,44,43,8.4%,29.6%,17,60,142,100,15.2%,29.4%,45.6%,6.9%,0.5%,2.5%
MS 243 CENTER SCHOOL,NYC DOE,NEW YORK,255,100.0%,15.7%,0,215,0.0%,7.8%,0,20,255,20,55.7%,14.9%,19.6%,5.5%,0.0%,4.3%
MS 245 COMPUTER SCHOOL (THE),NYC DOE,NEW YORK,389,100.0%,97.4%,0,10,3.9%,7.7%,15,30,374,349,45.6%,11.6%,30.7%,4.1%,0.3%,7.7%
MS 246 WALT WHITMAN,NYC DOE,KINGS,356,56.2%,81.5%,156,66,0.0%,78.7%,0,280,200,10,5.2%,59.2%,29.8%,3.0%,2.5%,0.3%
MS 247 DUAL LANG MIDDLE SCHOOL,NYC DOE,NEW YORK,230,98.7%,100.0%,3,0,50.4%,57.0%,116,131,111,99,4.3%,1.3%,93.0%,0.9%,0.0%,0.4%
MS 250 WEST SIDE COLLABORATIVE,NYC DOE,NEW YORK,110,100.0%,99.1%,0,1,100.0%,99.1%,110,109,0,0,6.4%,32.7%,56.4%,0.9%,0.9%,2.7%
MS 255 SALK SCHOOL OF SCIENCE,NYC DOE,NEW YORK,361,100.0%,38.8%,0,221,16.6%,17.5%,60,63,301,77,55.6%,0.8%,10.7%,24.4%,0.3%,8.1%
MS 266 PARK PLACE COMMUNITY MS,NYC DOE,KINGS,150,99.3%,100.0%,1,0,99.3%,100.0%,149,150,0,0,5.3%,61.3%,32.7%,0.7%,0.0%,0.0%
"MS 267 MATH, SCIENCE & TECHNOLOGY",NYC DOE,KINGS,198,68.2%,98.0%,63,4,68.2%,70.7%,135,140,0,54,0.5%,73.9%,22.6%,0.5%,2.5%,0.0%
MS 297,NYC DOE,NEW YORK,818,0.0%,97.7%,818,19,0.0%,80.4%,0,658,0,141,45.0%,11.4%,29.5%,8.7%,0.6%,4.8%
MS 301 PAUL L DUNBAR,NYC DOE,BRONX,187,100.0%,99.5%,0,1,100.0%,94.1%,187,176,0,10,2.5%,46.0%,48.5%,0.0%,2.5%,0.5%
MS 302 LUISA DESSUS CRUZ,NYC DOE,BRONX,453,100.0%,100.0%,0,0,100.0%,100.0%,453,453,0,0,0.9%,19.9%,78.3%,0.2%,0.4%,0.2%
MS 319 MARIE TERESA,NYC DOE,NEW YORK,320,91.9%,96.6%,26,11,69.7%,74.4%,223,238,71,71,2.1%,3.0%,94.8%,0.0%,0.0%,0.0%
MS 324 PATRIA MIRABAL,NYC DOE,NEW YORK,268,100.0%,99.6%,0,1,100.0%,99.6%,268,267,0,0,3.4%,8.0%,86.7%,1.9%,0.0%,0.0%
MS 35 STEPHEN DECATUR,NYC DOE,KINGS,187,96.8%,88.2%,6,22,79.1%,83.4%,148,156,33,9,2.2%,81.1%,15.7%,0.5%,0.5%,0.0%
MS 358,NYC DOE,QUEENS,347,96.3%,100.0%,13,0,0.0%,100.0%,0,347,334,0,0.6%,22.9%,43.2%,28.2%,4.7%,0.3%
MS 390,NYC DOE,BRONX,547,94.7%,100.0%,29,0,59.8%,100.0%,327,547,191,0,1.1%,16.5%,80.9%,0.9%,0.6%,0.0%
MS 394,NYC DOE,KINGS,285,91.6%,91.6%,24,24,55.1%,76.1%,157,217,104,44,0.7%,71.3%,18.2%,9.1%,0.3%,0.3%
MS 442 CARROLL GARDENS SCHOOL,NYC DOE,KINGS,357,100.0%,100.0%,0,0,5.9%,24.1%,21,86,336,271,44.8%,11.2%,27.5%,8.1%,1.1%,7.3%
MS 51 WILLIAM ALEXANDER,NYC DOE,KINGS,1143,100.0%,100.0%,0,0,32.5%,32.5%,371,371,772,772,34.4%,8.0%,30.9%,21.8%,0.4%,4.4%
MS 53 BRIAN PICCOLO,NYC DOE,QUEENS,158,91.8%,99.4%,13,1,6.3%,99.4%,10,157,135,0,0.7%,52.7%,41.9%,0.0%,1.4%,3.4%
MS 582,NYC DOE,KINGS,350,99.7%,90.6%,1,33,0.0%,74.9%,0,262,349,55,1.1%,22.7%,74.1%,0.6%,0.0%,1.4%
MS 594,NYC DOE,BRONX,241,87.6%,87.6%,30,30,0.0%,78.4%,0,189,211,22,0.8%,30.8%,66.7%,0.4%,1.3%,0.0%
MS 596,NYC DOE,BRONX,409,92.7%,88.5%,30,47,80.2%,73.3%,328,300,51,62,6.9%,33.3%,53.6%,5.5%,0.7%,0.0%
MS 61 DR GLADSTONE H ATWELL,NYC DOE,KINGS,518,80.3%,98.1%,102,10,64.9%,64.9%,336,336,80,172,2.1%,83.0%,11.3%,1.6%,1.0%,1.0%
MS 839,NYC DOE,KINGS,370,97.0%,0.0%,11,370,19.7%,0.0%,73,0,286,0,43.2%,10.5%,27.6%,13.0%,0.5%,5.1%
MS 890,NYC DOE,KINGS,289,100.0%,95.5%,0,13,100.0%,95.2%,289,275,0,1,8.7%,37.0%,38.4%,13.5%,0.7%,1.7%
"MS OF MEDIA, LAW, FINE ARTS",NYC DOE,KINGS,199,84.9%,63.8%,30,72,62.3%,37.2%,124,74,45,53,3.3%,84.4%,7.6%,0.9%,2.4%,1.4%
MULTICULTURAL HIGH SCHOOL,NYC DOE,KINGS,284,87.0%,85.2%,37,42,87.0%,85.2%,247,242,0,0,0.0%,2.5%,97.5%,0.0%,0.0%,0.0%
MURRAY HILL ACADEMY,NYC DOE,NEW YORK,266,99.6%,99.6%,1,1,28.2%,99.2%,75,264,190,1,10.5%,24.8%,49.6%,10.5%,1.5%,3.0%
MURRY BERGTRAUM HS FOR BUS CAR,NYC DOE,NEW YORK,130,100.0%,57.7%,0,55,100.0%,57.7%,130,75,0,0,2.9%,52.2%,32.6%,8.0%,2.2%,2.2%
MUSCOTA,NYC DOE,NEW YORK,293,98.6%,97.3%,4,8,3.4%,67.9%,10,199,279,86,44.2%,3.7%,40.8%,3.4%,0.3%,7.5%
NAPLES STREET ELEMENTARY SCHOOL,NYC DOE,RICHMOND,298,6.0%,100.0%,280,0,6.0%,100.0%,18,298,0,0,49.3%,12.8%,27.2%,10.1%,0.0%,0.7%
NEIGHBORHOOD SCHOOL,NYC DOE,NEW YORK,271,99.3%,88.9%,2,30,4.1%,12.2%,11,33,258,208,37.6%,11.8%,35.1%,7.0%,0.4%,8.1%
NELSON MANDELA HIGH SCHOOL,NYC DOE,KINGS,191,73.3%,78.5%,51,41,0.0%,41.9%,0,80,140,70,0.5%,83.2%,12.6%,0.0%,2.6%,1.0%
NEW AMERICAN ACAD-R CLEMENTE STATE,NYC DOE,BRONX,510,70.0%,70.0%,153,153,59.4%,59.4%,303,303,54,54,0.8%,35.8%,61.7%,0.6%,1.0%,0.2%
NEW BRIDGES ELEMENTARY,NYC DOE,KINGS,422,100.0%,78.4%,0,91,36.0%,78.4%,152,331,270,0,3.1%,72.1%,20.3%,2.4%,0.7%,1.4%
NEW DESIGN HIGH SCHOOL,NYC DOE,NEW YORK,511,63.0%,98.8%,189,6,19.4%,43.1%,99,220,223,285,2.5%,32.2%,58.2%,6.1%,0.0%,1.0%
NEW DESIGN MIDDLE SCHOOL,NYC DOE,NEW YORK,136,85.3%,98.5%,20,2,0.0%,94.1%,0,128,116,6,2.2%,57.0%,39.3%,0.0%,1.5%,0.0%
NEW DIRECTIONS SECONDARY SCHOOL,NYC DOE,BRONX,142,65.5%,73.9%,49,37,34.5%,73.9%,49,105,44,0,2.1%,33.1%,62.0%,0.7%,2.1%,0.0%
NEW DISTRICT HIGH SCHOOL,NYC DOE,KINGS,164,100.0%,99.4%,0,1,1.8%,64.0%,3,105,161,58,3.6%,68.9%,25.1%,0.6%,1.2%,0.6%
NEW DORP HIGH SCHOOL,NYC DOE,RICHMOND,3136,95.9%,100.0%,129,0,46.4%,46.4%,1455,1455,1552,1681,50.0%,9.3%,27.3%,11.3%,0.3%,1.8%
"NEW EXPLORATIONS SCI, TECH & MATH",NYC DOE,NEW YORK,1792,99.4%,97.1%,11,52,4.7%,25.8%,84,463,1697,1277,38.3%,6.2%,11.6%,34.7%,0.3%,8.9%
NEW HEIGHTS MIDDLE SCHOOL,NYC DOE,KINGS,235,85.1%,91.5%,35,20,36.6%,75.7%,86,178,114,37,3.0%,78.0%,13.6%,0.4%,3.0%,2.1%
NEW MILLENNIUM BRONX ACAD ARTS,NYC DOE,BRONX,315,100.0%,99.4%,0,2,56.2%,99.4%,177,313,138,0,1.6%,34.4%,62.5%,1.6%,0.0%,0.0%
NEW SCHOOL-LEADERSHIP & JOURNAL,NYC DOE,BRONX,681,43.2%,99.9%,387,1,37.4%,92.5%,255,630,39,50,2.2%,7.9%,87.6%,1.9%,0.0%,0.4%
NEW UTRECHT HIGH SCHOOL,NYC DOE,KINGS,3576,99.6%,98.2%,14,63,27.2%,33.4%,974,1195,2588,2318,23.5%,3.0%,33.7%,38.9%,0.4%,0.5%
NEW VOICES SCH-ACAD & CREATIVE ARTS,NYC DOE,KINGS,569,0.0%,0.0%,569,569,0.0%,0.0%,0,0,0,0,42.1%,8.4%,32.2%,12.8%,0.3%,4.2%
NEW WORLD HIGH SCHOOL,NYC DOE,BRONX,357,99.7%,99.4%,1,2,23.8%,82.4%,85,294,271,61,9.3%,11.8%,67.9%,9.9%,0.8%,0.3%
NEWCOMERS HIGH SCHOOL,NYC DOE,QUEENS,677,84.8%,86.4%,103,92,24.4%,67.4%,165,456,409,129,5.1%,1.5%,73.1%,18.0%,2.4%,0.0%
NEWTOWN HIGH SCHOOL,NYC DOE,QUEENS,1653,88.6%,88.6%,188,188,42.8%,42.8%,708,708,757,757,4.9%,7.4%,60.9%,24.5%,0.9%,1.3%
NORMA ADAMS CLEMONS ACADEMY,NYC DOE,KINGS,607,42.7%,49.1%,348,309,0.0%,49.1%,0,298,259,0,4.8%,70.9%,21.9%,1.2%,0.8%,0.3%
NORTH BRONX SCHOOL OF EMPOWERMENT,NYC DOE,BRONX,423,99.5%,99.5%,2,2,2.8%,88.9%,12,376,409,45,1.9%,51.9%,41.5%,1.7%,2.1%,0.9%
NORTH QUEENS COMMUNITY HIGH SCHOOL,NYC DOE,QUEENS,124,88.7%,82.3%,14,22,26.6%,26.6%,33,33,77,69,9.7%,31.9%,39.8%,15.9%,1.8%,0.9%
NYC ACADEMY FOR DISCOVERY,NYC DOE,QUEENS,344,98.5%,80.2%,5,68,11.0%,45.9%,38,158,301,118,4.0%,4.9%,69.7%,17.3%,2.3%,1.7%
NYC ISCHOOL,NYC DOE,NEW YORK,490,89.8%,96.9%,50,15,0.0%,96.9%,0,475,440,0,44.6%,12.3%,25.8%,8.2%,1.2%,8.0%
NYC LAB HS-COLLABORATIVE STUDIES,NYC DOE,NEW YORK,483,100.0%,89.4%,0,51,100.0%,8.3%,483,40,0,392,55.6%,2.1%,11.2%,22.4%,0.2%,8.5%
NYC LAB MS-COLLABORATIVE STUDIES,NYC DOE,NEW YORK,574,89.4%,89.5%,61,60,0.5%,27.9%,3,160,510,354,27.4%,1.7%,7.0%,55.3%,0.2%,8.4%
NYC MUSEUM SCHOOL,NYC DOE,NEW YORK,444,100.0%,94.6%,0,24,0.0%,18.0%,0,80,444,340,34.9%,12.2%,25.0%,20.5%,1.1%,6.3%
OLYMPUS ACADEMY,NYC DOE,KINGS,180,90.0%,84.4%,18,28,55.0%,55.0%,99,99,63,53,1.3%,84.5%,13.5%,0.6%,0.0%,0.0%
ONE WORLD MS AT EDENWALD,NYC DOE,BRONX,339,97.3%,96.8%,9,11,0.0%,79.6%,0,270,330,58,0.9%,56.8%,35.8%,3.6%,3.0%,0.0%
ORCHARD COLLEGIATE ACADEMY,NYC DOE,NEW YORK,296,87.8%,93.6%,36,19,0.0%,84.5%,0,250,260,27,1.0%,25.4%,58.6%,10.2%,2.0%,2.7%
ORIGINS HIGH SCHOOL,NYC DOE,KINGS,414,99.8%,100.0%,1,0,34.8%,95.9%,144,397,269,17,34.9%,26.2%,12.5%,24.3%,1.4%,0.7%
PACE HIGH SCHOOL,NYC DOE,NEW YORK,596,96.5%,94.0%,21,36,68.8%,76.3%,410,455,165,105,5.4%,31.9%,51.5%,8.6%,1.5%,1.0%
PAN AMERICAN INTERNATIONAL HS,NYC DOE,QUEENS,361,72.0%,100.0%,101,0,32.7%,100.0%,118,361,142,0,0.3%,0.9%,98.3%,0.3%,0.3%,0.0%
PAN AMERICAN INTERNATIONAL HS-MONROE,NYC DOE,BRONX,374,97.3%,97.6%,10,9,52.9%,81.3%,198,304,166,61,0.0%,0.3%,99.5%,0.0%,0.3%,0.0%
PARK EAST HIGH SCHOOL,NYC DOE,NEW YORK,386,81.3%,79.0%,72,81,34.7%,59.6%,134,230,180,75,2.6%,26.4%,60.4%,7.5%,0.3%,2.8%
PARK SLOPE COLLEGIATE,NYC DOE,KINGS,688,100.0%,99.4%,0,4,11.3%,33.4%,78,230,610,454,21.2%,30.6%,39.3%,5.8%,0.3%,2.8%
PARKSIDE PREP ACADEMY,NYC DOE,KINGS,417,97.4%,42.0%,11,242,42.0%,42.0%,175,175,231,0,2.9%,71.7%,17.4%,4.4%,2.9%,0.7%
PATHWAYS COLLEGE PREPARATORY SCHOOL,NYC DOE,QUEENS,617,89.3%,59.3%,66,251,59.3%,59.3%,366,366,185,0,1.0%,79.6%,6.7%,9.0%,2.4%,1.3%
PATHWAYS TECH EARLY COLLEGE HIGH SCH,NYC DOE,KINGS,560,89.5%,89.5%,59,59,32.9%,32.9%,184,184,317,317,1.1%,79.7%,13.4%,2.2%,1.6%,2.0%
PAULA HEDBAVNY SCHOOL,NYC DOE,NEW YORK,471,94.5%,98.9%,26,5,0.0%,94.3%,0,444,445,22,15.2%,3.6%,76.7%,2.5%,0.0%,1.9%
PECK SLIP SCHOOL (THE),NYC DOE,NEW YORK,424,100.0%,99.8%,0,1,0.0%,13.9%,0,59,424,364,47.3%,6.8%,14.2%,17.9%,0.0%,13.8%
PELHAM ACAD-ACADEMICS AND COMMUNITY,NYC DOE,BRONX,324,98.5%,100.0%,5,0,10.2%,92.3%,33,299,286,25,12.0%,18.5%,59.3%,9.3%,0.3%,0.6%
PELHAM GARDENS MIDDLE SCHOOL,NYC DOE,BRONX,420,95.0%,99.3%,21,3,0.0%,81.2%,0,341,399,76,5.3%,54.6%,33.7%,4.8%,1.7%,0.0%
PELHAM LAB HIGH SCHOOL,NYC DOE,BRONX,422,96.9%,95.5%,13,19,7.3%,38.2%,31,161,378,242,4.5%,20.9%,65.6%,7.1%,1.6%,0.2%
PELHAM PREPARATORY ACADEMY,NYC DOE,BRONX,502,90.0%,98.0%,50,10,38.0%,57.4%,191,288,261,204,6.7%,28.5%,54.0%,7.5%,2.0%,1.4%
PERF ARTS & TECH HIGH SCHOOL,NYC DOE,KINGS,359,88.9%,88.9%,40,40,83.6%,83.6%,300,300,19,19,1.1%,62.6%,32.0%,2.2%,1.7%,0.3%
PIONEER ACADEMY,NYC DOE,QUEENS,825,100.0%,99.4%,0,5,100.0%,99.4%,825,820,0,0,0.9%,1.0%,95.7%,2.2%,0.1%,0.1%
PORT RICHMOND HIGH SCHOOL,NYC DOE,RICHMOND,1541,94.7%,93.6%,81,99,65.7%,65.7%,1013,1013,447,429,17.7%,23.3%,48.1%,7.8%,0.8%,2.3%
PORT RICHMOND SCHOOL FOR VISIONARY,NYC DOE,RICHMOND,368,91.3%,100.0%,32,0,31.5%,50.0%,116,184,220,184,15.2%,22.3%,49.5%,7.3%,1.1%,4.6%
PREP ACADEMY FOR WRITERS,NYC DOE,QUEENS,541,25.9%,44.4%,401,301,0.0%,28.8%,0,156,140,84,1.5%,82.3%,10.5%,3.5%,1.7%,0.6%
PROFESSIONAL PATHWAYS HIGH SCHOOL,NYC DOE,KINGS,185,73.5%,73.5%,49,49,49.7%,49.7%,92,92,44,44,30.2%,26.6%,35.5%,7.1%,0.0%,0.6%
PROFESSIONAL PERF ARTS HIGH SCHOOL,NYC DOE,NEW YORK,563,99.5%,100.0%,3,0,0.0%,5.5%,0,31,560,532,43.0%,19.2%,22.4%,6.5%,0.7%,8.2%
PROFESSOR JUAN BOSCH PS,NYC DOE,NEW YORK,262,100.0%,100.0%,0,0,0.8%,58.0%,2,152,260,110,13.6%,3.4%,79.2%,0.8%,0.0%,3.0%
PROGRESS HS-PROFESSIONAL CAREERS,NYC DOE,KINGS,548,100.0%,33.4%,0,365,66.6%,0.0%,365,0,183,183,2.4%,25.0%,70.0%,1.5%,0.4%,0.7%
PS  4,NYC DOE,KINGS,391,84.1%,84.1%,62,62,84.1%,84.1%,329,329,0,0,6.2%,55.9%,26.8%,8.9%,2.2%,0.0%
PS 1 ALFRED E SMITH,NYC DOE,NEW YORK,233,95.7%,95.7%,10,10,91.0%,89.7%,212,209,11,14,5.5%,23.8%,22.6%,47.7%,0.0%,0.4%
PS 1 BERGEN (THE),NYC DOE,KINGS,948,85.9%,85.9%,134,134,60.2%,65.3%,571,619,243,195,3.2%,0.9%,87.8%,7.7%,0.2%,0.2%
PS 1 COURTLANDT SCHOOL,NYC DOE,BRONX,534,100.0%,95.5%,0,24,36.0%,95.5%,192,510,342,0,2.8%,22.6%,73.2%,0.8%,0.2%,0.4%
PS 1 TOTTENVILLE,NYC DOE,RICHMOND,390,100.0%,100.0%,0,0,0.0%,42.3%,0,165,390,225,70.7%,1.3%,24.2%,2.5%,0.3%,1.0%
PS 10,NYC DOE,BRONX,640,76.3%,84.4%,152,100,76.3%,84.4%,488,540,0,0,6.0%,29.6%,59.0%,3.4%,0.8%,1.1%
PS 100 CONEY ISLAND SCHOOL (THE),NYC DOE,KINGS,687,86.0%,84.1%,96,109,0.0%,31.1%,0,214,591,364,83.2%,2.9%,7.8%,3.9%,0.4%,1.7%
PS 100 GLEN MORRIS,NYC DOE,QUEENS,853,97.1%,98.2%,25,15,8.1%,71.7%,69,612,759,226,2.9%,4.6%,20.4%,28.3%,41.8%,2.0%
PS 100 ISAAC CLASON,NYC DOE,BRONX,536,25.0%,88.1%,402,64,2.2%,86.8%,12,465,122,7,2.3%,27.1%,67.0%,1.3%,0.6%,1.7%
PS 101 SCHOOL IN THE GARDENS,NYC DOE,QUEENS,605,99.8%,86.6%,1,81,0.0%,31.4%,0,190,604,334,37.9%,3.5%,19.1%,29.5%,0.0%,10.0%
PS 101 VERRAZANO (THE),NYC DOE,KINGS,966,99.8%,97.9%,2,20,0.0%,26.4%,0,255,964,691,29.5%,0.9%,13.3%,54.5%,0.5%,1.2%
PS 102 BAYVIEW,NYC DOE,QUEENS,1234,100.0%,38.8%,0,755,12.6%,38.8%,155,479,1079,0,2.8%,3.5%,29.9%,62.0%,0.9%,0.8%
PS 102 BAYVIEW (THE),NYC DOE,KINGS,1293,100.0%,100.0%,0,0,50.3%,50.3%,650,650,643,643,47.5%,1.9%,28.6%,18.4%,0.5%,3.1%
PS 102 JACQUES CARTIER,NYC DOE,NEW YORK,181,70.7%,86.2%,53,25,57.5%,86.2%,104,156,24,0,3.2%,34.6%,49.5%,7.4%,2.7%,2.7%
PS 103 HECTOR FONTANEZ,NYC DOE,BRONX,844,71.2%,99.9%,243,1,57.1%,88.5%,482,747,119,96,3.9%,40.4%,50.5%,2.7%,2.2%,0.4%
PS 104 BAYS WATER (THE),NYC DOE,QUEENS,591,69.4%,71.4%,181,169,30.1%,71.4%,178,422,232,0,5.2%,36.1%,53.0%,2.9%,2.1%,0.7%
PS 105 BAY SCHOOL (THE),NYC DOE,QUEENS,779,99.6%,94.7%,3,41,99.6%,66.2%,776,516,0,222,0.9%,61.2%,33.8%,2.6%,1.2%,0.4%
PS 105 BLYTHEBOURNE (THE),NYC DOE,KINGS,1360,100.0%,99.0%,0,14,34.6%,34.6%,470,470,890,876,2.3%,0.4%,4.6%,92.6%,0.1%,0.0%
PS 105 SEN ABRAHAM BERNSTEIN,NYC DOE,BRONX,893,86.0%,97.6%,125,21,10.1%,68.6%,90,613,678,259,14.7%,8.7%,63.6%,11.6%,1.1%,0.2%
PS 106 EDWARD EVERETT HALE,NYC DOE,KINGS,340,53.8%,94.4%,157,19,0.6%,94.1%,2,320,181,1,0.9%,7.9%,89.4%,1.2%,0.0%,0.6%
PS 106 PARKCHESTER,NYC DOE,BRONX,967,88.3%,97.8%,113,21,0.0%,71.8%,0,694,854,252,2.7%,22.2%,32.3%,40.6%,1.3%,0.9%
PS 107,NYC DOE,BRONX,527,80.3%,78.7%,104,112,0.0%,78.7%,0,415,423,0,1.8%,31.5%,65.6%,0.4%,0.4%,0.4%
PS 107 JOHN W KIMBALL,NYC DOE,KINGS,495,100.0%,100.0%,0,0,1.4%,14.9%,7,74,488,421,66.3%,3.4%,13.5%,10.6%,0.0%,6.2%
PS 107 THOMAS A DOOLEY,NYC DOE,QUEENS,893,90.3%,96.1%,87,35,18.6%,33.5%,166,299,640,559,7.4%,1.5%,36.6%,53.4%,0.7%,0.6%
PS 108 ASSEMBLYMAN ANGELO DEL TORO,NYC DOE,NEW YORK,431,0.0%,45.7%,431,234,0.0%,45.7%,0,197,0,0,3.5%,30.1%,62.4%,2.1%,0.9%,0.9%
PS 108 CAPTAIN VINCENT G FOWLER,NYC DOE,QUEENS,1293,92.0%,70.7%,104,379,8.8%,36.7%,114,475,1075,439,6.7%,5.0%,59.2%,25.3%,2.6%,1.2%
PS 108 PHILIP J ABINANTI,NYC DOE,BRONX,542,100.0%,99.3%,0,4,99.6%,99.3%,540,538,2,0,37.9%,5.2%,40.7%,14.3%,0.6%,1.3%
PS 108 SAL ABBRACCIAMENTO,NYC DOE,KINGS,848,94.7%,85.7%,45,121,51.1%,69.9%,433,593,370,134,1.2%,8.5%,82.9%,4.2%,2.5%,0.7%
PS 109,NYC DOE,KINGS,506,91.5%,89.5%,43,53,61.7%,61.7%,312,312,151,141,2.6%,74.0%,17.7%,3.4%,1.6%,0.8%
PS 109 SEDGWICK,NYC DOE,BRONX,532,99.8%,99.8%,1,1,50.4%,80.3%,268,427,263,104,1.3%,21.5%,76.2%,0.4%,0.4%,0.2%
PS 11 HIGHBRIDGE,NYC DOE,BRONX,501,39.5%,99.4%,303,3,0.0%,99.2%,0,497,198,1,1.0%,25.7%,71.9%,0.8%,0.6%,0.0%
PS 11 KATHRYN PHELAN,NYC DOE,QUEENS,820,97.7%,96.1%,19,32,2.1%,52.4%,17,430,784,358,11.9%,1.4%,50.6%,32.9%,1.1%,2.0%
PS 11 PURVIS J BEHAN,NYC DOE,KINGS,856,98.1%,84.8%,16,130,38.9%,38.9%,333,333,507,393,13.5%,58.1%,14.1%,3.4%,1.0%,9.9%
PS 11 THOMAS DONGAN SCHOOL,NYC DOE,RICHMOND,313,43.1%,59.4%,178,127,0.0%,59.4%,0,186,135,0,31.1%,16.1%,38.0%,12.8%,0.3%,1.6%
PS 11 WILLIAM T HARRIS,NYC DOE,NEW YORK,815,98.4%,91.8%,13,67,0.0%,31.8%,0,259,802,489,42.8%,7.1%,23.9%,16.7%,0.1%,9.3%
PS 110,NYC DOE,QUEENS,958,55.6%,55.6%,425,425,40.4%,40.4%,387,387,146,146,0.6%,0.1%,90.7%,8.2%,0.4%,0.0%
PS 110 FLORENCE NIGHTINGALE,NYC DOE,NEW YORK,373,94.6%,82.6%,20,65,0.0%,13.1%,0,49,353,259,27.3%,10.5%,43.7%,16.1%,0.3%,2.1%
PS 110 MONITOR (THE),NYC DOE,KINGS,527,95.1%,93.7%,26,33,0.0%,35.1%,0,185,501,309,67.7%,2.3%,17.7%,6.0%,0.2%,6.0%
PS 110 THEODORE SCHOENFELD,NYC DOE,BRONX,354,97.2%,94.9%,10,18,2.8%,94.9%,10,336,334,0,9.3%,33.6%,56.2%,0.0%,0.6%,0.3%
PS 111 ADOLPH S OCHS,NYC DOE,NEW YORK,396,88.1%,87.1%,47,51,46.0%,46.0%,182,182,167,163,20.3%,14.5%,48.4%,14.5%,0.5%,1.8%
PS 111 JACOB BLACKWELL,NYC DOE,QUEENS,330,94.2%,91.8%,19,27,59.7%,91.8%,197,303,114,0,1.9%,51.9%,39.8%,4.0%,1.9%,0.6%
PS 111 SETON FALLS,NYC DOE,BRONX,500,75.0%,75.0%,125,125,75.0%,75.0%,375,375,0,0,1.6%,58.7%,37.7%,0.8%,0.4%,0.8%
PS 112 BRONXWOOD,NYC DOE,BRONX,368,47.8%,68.2%,192,117,0.0%,62.8%,0,231,176,20,1.4%,49.2%,48.4%,0.5%,0.5%,0.0%
PS 112 DUTCH KILLS,NYC DOE,QUEENS,395,69.6%,82.8%,120,68,39.2%,73.7%,155,291,120,36,7.9%,20.5%,39.1%,28.9%,0.8%,2.8%
PS 112 JOSE CELSO BARBOSA,NYC DOE,NEW YORK,274,97.1%,81.0%,8,52,97.1%,79.6%,266,218,0,4,7.5%,21.5%,67.5%,1.5%,0.8%,1.1%
PS 112 LEFFERTS PARK,NYC DOE,KINGS,721,92.2%,84.0%,56,115,25.5%,40.2%,184,290,481,316,24.3%,0.8%,35.7%,38.8%,0.0%,0.4%
PS 114 LUIS LLORENS TORRES SCHOOL,NYC DOE,BRONX,592,97.5%,85.5%,15,86,85.5%,85.5%,506,506,71,0,2.5%,18.0%,74.7%,3.7%,0.7%,0.3%
PS 114 RYDER ELEMENTARY,NYC DOE,KINGS,414,100.0%,96.6%,0,14,81.2%,81.4%,336,337,78,63,4.0%,77.2%,12.9%,4.7%,0.5%,0.7%
PS 115 ALEXANDER HUMBOLDT,NYC DOE,NEW YORK,394,81.2%,80.7%,74,76,66.8%,79.9%,263,315,57,3,2.0%,0.3%,94.9%,1.5%,0.5%,0.8%
PS 115 DANIEL MUCATEL SCHOOL,NYC DOE,KINGS,826,98.9%,96.9%,9,26,0.0%,25.4%,0,210,817,590,7.8%,80.5%,6.5%,2.8%,1.0%,1.5%
PS 116 ELIZABETH L FARRELL,NYC DOE,KINGS,319,96.2%,98.4%,12,5,75.5%,85.3%,241,272,66,42,1.3%,3.4%,93.1%,1.3%,0.6%,0.3%
PS 116 MARY LINDLEY MURRAY,NYC DOE,NEW YORK,415,100.0%,100.0%,0,0,24.6%,27.0%,102,112,313,303,43.9%,9.3%,18.6%,21.6%,0.2%,6.4%
PS 117 J KELD/BRIARWOOD SCHOOL,NYC DOE,QUEENS,872,85.6%,81.7%,126,160,0.0%,33.9%,0,296,746,416,14.8%,9.0%,38.5%,33.5%,2.9%,1.3%
PS 118 LORRAINE HANSBERRY,NYC DOE,QUEENS,409,77.8%,77.8%,91,91,40.1%,40.1%,164,164,154,154,2.2%,66.0%,18.1%,9.5%,3.4%,0.7%
PS 119 AMERSFORT,NYC DOE,KINGS,423,97.2%,70.7%,12,124,70.7%,63.6%,299,269,112,30,4.6%,54.7%,14.6%,23.3%,0.7%,2.2%
PS 12 JAMES B COLGATE,NYC DOE,QUEENS,1065,83.3%,83.3%,178,178,27.2%,32.6%,290,347,597,540,3.4%,0.2%,40.9%,53.4%,1.0%,1.1%
PS 12 LEWIS AND CLARK SCHOOL,NYC DOE,BRONX,309,100.0%,45.6%,0,168,85.8%,28.2%,265,87,44,54,2.0%,30.8%,56.4%,4.4%,6.4%,0.0%
PS 120,NYC DOE,QUEENS,826,96.7%,95.5%,27,37,4.6%,36.4%,38,301,761,488,1.2%,0.6%,17.4%,80.3%,0.1%,0.4%
