District Name,County,Enrollment Total,Internet Access Rate,Device Access Rate,Lack Internet Total,Lack Device Total,Provided Internet Rate,Provided Device Rate,Provided Internet Total,Provided Device Total,Home Internet Total,Home Device Total,White Percentage,Black Percentage,Latinx Percentage,Asian Percentage,Native Percentage,Multiracial Percentage
FRONTIER,ERIE,4590,100.0%,98.7%,0,60,1.5%,98.1%,68,4530,4432,30,88.5%,1.1%,5.3%,1.2%,0.3%,3.6%
NORTH BABYLON,SUFFOLK,4461,99.9%,99.8%,5,11,0.0%,97.8%,0,4353,4456,87,34.0%,23.8%,31.9%,6.4%,0.5%,3.4%
PENFIELD,MONROE,4450,100.0%,100.0%,0,0,2.0%,100.0%,88,4460,4365,0,82.2%,4.5%,5.4%,3.0%,0.1%,4.8%
ORCHARD PARK,ERIE,4439,100.0%,100.0%,0,0,0.3%,99.2%,12,4403,3811,36,92.3%,0.8%,2.8%,1.5%,0.1%,2.5%
BALDWIN,NASSAU,4433,100.0%,62.5%,0,1663,3.2%,62.5%,143,2771,4290,0,11.3%,47.0%,32.4%,5.1%,0.2%,3.9%
WEST GENESEE,ONONDAGA,4348,100.0%,100.0%,0,0,0.8%,100.0%,34,4348,4314,0,84.9%,3.4%,4.6%,1.4%,0.8%,4.9%
HUNTINGTON,SUFFOLK,4285,99.0%,100.0%,43,0,28.0%,100.0%,1200,4285,3042,0,33.7%,7.1%,54.4%,2.0%,0.0%,2.8%
VICTOR,ONTARIO,4283,100.0%,100.0%,0,0,0.9%,35.7%,39,1507,4244,2710,81.9%,2.4%,7.9%,2.7%,0.3%,4.8%
NISKAYUNA,SCHENECTADY,4258,100.0%,100.0%,0,0,0.8%,48.4%,32,2061,4226,2197,67.5%,4.6%,6.3%,16.4%,0.2%,5.0%
HILTON,MONROE,4237,100.0%,69.6%,0,1282,1.3%,69.6%,54,2941,4183,0,87.5%,2.3%,5.8%,1.1%,0.1%,3.2%
BETHLEHEM,ALBANY,4198,100.0%,100.0%,0,0,0.2%,100.0%,9,4198,4189,0,83.6%,2.4%,3.3%,6.9%,0.0%,3.7%
CORNING,STEUBEN,4153,90.7%,100.0%,412,0,6.3%,100.0%,279,4147,3724,0,85.6%,1.9%,3.1%,4.3%,0.3%,4.7%
BALLSTON SPA,SARATOGA,4093,100.0%,100.0%,2,0,3.5%,100.0%,145,4093,3947,0,90.7%,1.6%,4.0%,1.6%,0.1%,2.0%
CLARENCE,ERIE,4076,100.0%,100.0%,0,0,1.5%,100.0%,61,4076,4015,0,87.7%,1.1%,3.8%,3.8%,0.1%,3.5%
FAYETTVLLE-MANLIUS,ONONDAGA,4057,100.0%,100.0%,2,0,0.5%,100.0%,21,4057,4034,0,79.0%,2.7%,3.5%,11.0%,0.3%,3.4%
SOUTH COUNTRY,SUFFOLK,4030,100.0%,99.2%,0,33,2.0%,90.3%,83,3642,3967,357,36.6%,16.3%,41.2%,1.7%,0.4%,3.8%
HERRICKS,NASSAU,4028,95.7%,100.0%,173,0,0.0%,18.3%,1,737,3854,3297,22.5%,0.6%,5.3%,70.1%,0.0%,1.5%
EAST GREENBUSH,RENSSELAER,4017,100.0%,100.0%,0,0,4.0%,100.0%,161,4017,3856,0,77.6%,3.6%,5.8%,7.3%,0.2%,5.5%
AUBURN,CAYUGA,4011,100.0%,100.0%,0,0,7.3%,78.2%,302,3145,3807,876,75.2%,6.5%,5.8%,0.7%,0.1%,11.8%
VALLEY-MONTGMRY,ORANGE,3963,100.0%,100.0%,0,0,1.2%,100.0%,48,3963,3915,0,58.5%,8.5%,26.6%,1.6%,0.2%,4.6%
