District Name,County,Enrollment Total,Internet Access Rate,Device Access Rate,Lack Internet Total,Lack Device Total,Provided Internet Rate,Provided Device Rate,Provided Internet Total,Provided Device Total,Home Internet Total,Home Device Total,White Percentage,Black Percentage,Latinx Percentage,Asian Percentage,Native Percentage,Multiracial Percentage
SOUTHWESTERN,CHAUTAUQUA,1311,95.5%,100.0%,58,0,0.0%,97.9%,0,1311,1224,28,87.1%,0.5%,5.5%,1.8%,0.3%,4.9%
EDEN,ERIE,1310,100.0%,100.0%,0,0,4.5%,100.0%,59,1310,1251,0,94.0%,0.6%,1.9%,0.3%,0.7%,2.4%
DOVER,DUTCHESS,1309,100.0%,100.0%,0,0,4.0%,99.9%,52,1309,1258,1,59.8%,3.0%,32.4%,1.4%,0.0%,3.5%
PENN YAN,YATES,1309,66.3%,98.0%,526,26,3.3%,97.8%,51,1280,982,3,92.8%,0.3%,3.7%,0.6%,0.1%,2.4%
SKANEATELES,ONONDAGA,1297,100.0%,100.0%,0,0,1.8%,100.0%,23,1301,1274,0,93.2%,0.2%,3.2%,1.7%,0.0%,1.8%
CLEVELAND HILL,ERIE,1295,100.0%,100.0%,0,0,0.0%,100.0%,0,1295,1295,0,46.6%,32.2%,6.1%,5.9%,0.6%,8.6%
SALAMANCA,CATTARAUGUS,1292,98.2%,100.0%,23,0,12.0%,100.0%,155,1292,1119,0,48.3%,0.4%,6.5%,0.3%,34.1%,10.4%
MIDDLEBURGH,SCHOHARIE,1291,93.2%,92.6%,88,73,1.2%,75.5%,15,742,1188,168,96.4%,0.8%,0.9%,0.9%,0.0%,0.9%
WAYLAND-COHOCTON,STEUBEN,1268,99.7%,95.7%,4,54,9.1%,95.7%,116,1214,1148,0,96.0%,0.5%,0.9%,0.4%,0.1%,2.1%
AKRON,ERIE,1267,100.0%,100.0%,0,0,7.8%,100.0%,101,1267,1190,0,81.5%,0.5%,1.0%,0.3%,12.8%,4.0%
MAYFIELD,FULTON,1264,98.5%,100.0%,13,0,1.3%,100.0%,11,1244,832,0,93.2%,0.8%,3.2%,1.2%,0.0%,1.6%
LOWVILLE,LEWIS,1257,95.0%,100.0%,63,0,2.8%,88.0%,35,1106,1159,151,93.6%,1.6%,2.1%,0.2%,0.1%,2.5%
CATSKILL,GREENE,1248,100.0%,100.0%,0,0,8.0%,72.2%,105,889,1204,342,65.7%,7.3%,13.9%,1.1%,0.2%,11.9%
CLINTON,ONEIDA,1245,100.0%,100.0%,0,0,12.0%,67.1%,149,838,1096,411,90.2%,1.8%,3.4%,1.4%,0.1%,3.2%
SLOAN,ERIE,1243,100.0%,100.0%,0,0,1.9%,100.0%,24,1243,1219,0,75.2%,7.9%,7.1%,3.0%,0.4%,6.4%
HOLLAND PATENT,ONEIDA,1239,99.2%,100.0%,10,0,5.7%,100.0%,70,1222,1156,0,99.2%,0.0%,0.2%,0.2%,0.0%,0.3%
HANNIBAL,OSWEGO,1235,99.6%,100.0%,5,0,13.2%,100.0%,163,1235,1067,0,96.6%,0.4%,1.7%,0.2%,0.2%,0.9%
FONDA FULTONVILLE,MONTGOMERY,1234,78.7%,79.1%,263,252,2.9%,65.3%,36,785,935,166,92.2%,0.7%,3.9%,1.0%,0.0%,2.2%
AUSABLE VALLEY,CLINTON,1218,100.0%,100.0%,0,0,4.8%,97.0%,57,1181,1125,36,97.0%,2.1%,0.2%,0.1%,0.0%,0.6%
NORTHEASTRN CLNTON,CLINTON,1216,73.6%,87.0%,295,244,0.4%,54.0%,5,1014,816,619,96.4%,0.7%,1.3%,0.7%,0.2%,0.6%
DUNDEE,YATES,1200,100.0%,100.0%,0,0,12.8%,100.0%,154,1200,1046,0,93.2%,0.5%,3.0%,0.2%,0.2%,2.9%
ONTEORA,ULSTER,1199,88.2%,99.4%,142,7,0.2%,96.2%,2,1154,1056,38,74.2%,1.2%,13.7%,1.5%,0.2%,9.2%
TACONIC HILLS,COLUMBIA,1199,86.8%,100.0%,158,0,2.0%,99.4%,24,1192,1017,7,78.6%,2.4%,11.9%,0.4%,0.3%,6.4%
ROYALTON HARTLAND,NIAGARA,1193,100.0%,100.0%,0,0,4.0%,65.9%,48,786,1145,407,91.8%,0.4%,3.2%,0.3%,0.2%,4.1%
LANSING,TOMPKINS,1179,99.2%,100.0%,9,0,1.0%,89.4%,12,945,1148,112,78.2%,1.5%,4.7%,4.1%,0.1%,11.4%
NORTH MERRICK,NASSAU,1178,100.0%,100.0%,0,0,0.1%,12.8%,1,104,1177,708,70.4%,2.9%,16.3%,8.5%,0.1%,1.8%
VOORHEESVILLE,ALBANY,1178,97.9%,85.4%,25,172,1.7%,15.0%,20,177,1134,829,88.5%,0.6%,3.9%,2.3%,0.1%,4.6%
CANTON,SAINT LAWRENCE,1176,93.7%,86.8%,46,242,5.3%,64.3%,39,1176,645,411,93.0%,0.6%,1.6%,1.7%,0.0%,3.1%
SENECA FALLS,SENECA,1174,100.0%,100.0%,0,0,3.7%,100.0%,44,1174,1130,0,81.8%,2.6%,6.7%,1.7%,1.8%,5.4%
ATTICA,WYOMING,1173,96.1%,99.5%,46,6,0.0%,96.8%,0,1136,1127,31,94.7%,0.9%,2.5%,0.7%,0.3%,0.9%
JORDAN ELBRIDGE,ONONDAGA,1167,100.0%,100.0%,0,0,1.7%,99.7%,20,1167,1162,4,94.8%,1.1%,2.1%,0.5%,0.4%,1.0%
COXSACKIE ATHENS,GREENE,1166,100.0%,100.0%,0,0,1.5%,100.0%,18,1166,1148,0,84.6%,2.1%,7.7%,0.6%,0.1%,5.0%
ADIRONDACK,ONEIDA,1166,77.0%,100.0%,270,0,19.5%,99.4%,229,1130,677,7,98.0%,0.2%,0.5%,0.2%,0.0%,1.1%
TUCKAHOE,WESTCHESTER,1164,100.0%,100.0%,0,0,0.5%,86.9%,6,1011,1158,153,64.8%,7.5%,16.2%,6.7%,0.3%,4.7%
FALCONER,CHAUTAUQUA,1157,88.7%,76.5%,131,272,4.8%,76.5%,55,885,971,0,93.8%,1.8%,3.4%,0.3%,0.3%,0.3%
BRUNSWICK CENTRAL,RENSSELAER,1148,94.0%,100.0%,69,0,0.0%,72.1%,0,828,1079,320,89.3%,1.2%,4.9%,1.6%,0.0%,3.1%
WELLSVILLE,ALLEGANY,1146,91.8%,100.0%,95,0,15.1%,98.0%,175,892,886,18,94.1%,1.7%,1.8%,0.8%,0.3%,1.3%
HAMILTON,MADISON,1124,100.0%,100.0%,0,0,8.0%,100.0%,90,1124,1034,0,90.8%,2.8%,2.5%,2.7%,0.0%,1.2%
EAST ROCKAWAY,NASSAU,1121,100.0%,100.0%,0,0,1.4%,86.8%,16,973,1105,148,58.5%,3.4%,29.2%,5.2%,0.4%,3.4%
CAIRO-DURHAM,GREENE,1114,94.4%,98.3%,62,19,7.7%,98.3%,86,1095,966,0,81.7%,2.2%,8.4%,1.1%,0.4%,6.3%
TULLY,ONONDAGA,1113,95.3%,100.0%,55,0,3.7%,100.0%,43,1113,1062,0,93.5%,0.7%,2.4%,0.8%,0.3%,2.3%
SARANAC LAKE,FRANKLIN,1100,99.4%,100.0%,7,0,1.5%,100.0%,17,1100,1078,0,66.1%,0.6%,32.4%,0.0%,0.0%,0.8%
GORHAM-MIDDLESEX,ONTARIO,1099,78.8%,100.0%,233,0,5.8%,100.0%,64,1099,802,0,97.4%,0.2%,1.8%,0.4%,0.0%,0.3%
GREENVILLE,GREENE,1098,99.0%,100.0%,11,0,4.1%,98.1%,45,1077,1040,21,95.8%,0.7%,2.3%,0.1%,0.0%,1.1%
NORTH ROSE WOLCOTT,WAYNE,1094,100.0%,100.0%,0,0,20.9%,100.0%,224,1094,848,0,85.1%,0.8%,9.0%,0.1%,0.0%,5.0%
PAWLING,DUTCHESS,1093,95.5%,100.0%,52,0,4.5%,82.1%,52,897,1041,196,69.1%,2.9%,23.9%,1.6%,0.0%,2.6%
MATTITUCK,SUFFOLK,1092,100.0%,100.0%,0,0,0.3%,100.0%,3,1092,1089,0,75.7%,1.5%,21.0%,1.4%,0.0%,0.5%
ALTMAR-PARISH,OSWEGO,1090,98.4%,98.5%,17,16,1.7%,60.4%,19,658,1054,416,93.6%,0.7%,1.8%,0.5%,0.5%,2.9%
CORINTH,SARATOGA,1073,97.7%,100.0%,25,0,0.0%,100.0%,0,1073,1047,0,96.1%,0.1%,2.1%,0.2%,0.1%,1.5%
ALLEGANY-LIMESTONE,CATTARAUGUS,1064,96.8%,100.0%,34,0,2.2%,100.0%,23,1064,1007,0,91.6%,1.4%,1.6%,1.2%,0.4%,3.8%
HERKIMER,HERKIMER,1061,97.2%,100.0%,30,0,2.2%,100.0%,23,1062,1009,0,88.4%,4.3%,2.4%,1.1%,0.3%,3.5%
STILLWATER,SARATOGA,1060,100.0%,100.0%,0,0,1.4%,100.0%,14,1037,1019,0,93.7%,1.7%,2.7%,1.1%,0.1%,0.7%
LITTLE FALLS,HERKIMER,1056,99.7%,100.0%,3,0,1.3%,100.0%,14,1056,1039,0,89.8%,0.2%,4.2%,0.9%,0.0%,4.8%
HOOSICK FALLS,RENSSELAER,1054,93.7%,100.0%,67,0,0.3%,43.4%,3,483,987,631,92.0%,0.2%,2.9%,0.4%,0.5%,4.1%
KENDALL,ORLEANS,1049,86.2%,100.0%,133,0,2.1%,100.0%,20,1049,810,0,91.0%,0.6%,5.0%,0.0%,0.1%,3.3%
NEWARK VALLEY,TIOGA,1049,84.1%,85.1%,173,156,4.0%,37.8%,44,397,871,496,95.5%,0.2%,2.2%,0.5%,0.0%,1.6%
WILSON,NIAGARA,1045,99.6%,96.9%,4,33,6.6%,96.9%,71,1046,1003,0,90.4%,0.5%,3.6%,0.2%,1.2%,4.1%
VALLEY STR HEMP 24,NASSAU,1044,100.0%,100.0%,0,0,1.1%,100.0%,12,1044,1032,0,17.3%,20.9%,43.0%,15.5%,0.4%,3.0%
PORT JEFFERSON,SUFFOLK,1043,100.0%,100.0%,0,0,0.0%,100.0%,0,1043,1043,0,75.2%,0.7%,12.0%,8.5%,0.2%,3.3%
WILLIAMSON,WAYNE,1041,75.5%,100.0%,335,0,2.2%,100.0%,30,982,1001,0,80.6%,2.9%,10.9%,0.4%,0.5%,4.7%
RENSSELAER,RENSSELAER,1040,99.5%,97.8%,5,23,0.5%,85.8%,5,900,1030,126,52.1%,12.7%,11.1%,14.2%,0.2%,9.7%
BELLMORE,NASSAU,1031,100.0%,98.4%,0,17,0.0%,86.6%,0,893,1031,121,75.4%,1.4%,12.9%,9.1%,0.3%,1.1%
SIDNEY,DELAWARE,1031,81.6%,100.0%,192,0,1.4%,100.0%,15,1031,839,0,87.7%,1.0%,6.5%,0.8%,0.0%,4.0%
GRANVILLE,WASHINGTON,1030,92.5%,96.5%,78,36,2.4%,96.5%,25,994,939,0,94.8%,1.3%,1.2%,0.2%,0.3%,2.2%
JEFF YOUNGSVILLE,SULLIVAN,1022,92.3%,34.6%,78,710,2.7%,14.8%,27,161,902,215,84.3%,0.8%,10.2%,0.8%,0.2%,3.8%
ADDISON,STEUBEN,1020,98.9%,95.0%,11,78,2.1%,60.3%,21,942,988,542,95.9%,0.4%,1.7%,0.7%,0.2%,1.1%
SILVER CREEK,CHAUTAUQUA,1016,100.0%,100.0%,0,0,13.4%,100.0%,141,1016,912,0,71.2%,0.6%,9.3%,0.5%,11.6%,6.8%
NORTH SALEM,WESTCHESTER,1016,100.0%,100.0%,0,0,2.0%,58.6%,20,1016,996,717,73.2%,2.3%,18.0%,2.7%,0.1%,3.7%
GOWANDA,ERIE,1010,77.1%,100.0%,231,0,11.7%,100.0%,118,1010,661,0,62.8%,0.2%,4.7%,0.1%,22.3%,9.9%
EAST ROCHESTER,MONROE,1009,100.0%,100.0%,0,0,1.2%,100.0%,12,1009,1007,0,70.8%,9.2%,12.4%,0.7%,0.3%,6.7%
ELMIRA HEIGHTS,CHEMUNG,1001,100.0%,73.1%,0,269,1.3%,70.2%,13,703,988,29,86.7%,2.7%,3.0%,0.5%,0.4%,6.7%
PORTVILLE,CATTARAUGUS,998,99.4%,100.0%,6,0,3.0%,49.1%,30,490,962,508,92.1%,0.7%,2.1%,0.1%,0.1%,4.9%
ELMSFORD,WESTCHESTER,993,100.0%,100.0%,0,0,0.0%,100.0%,0,993,993,0,8.0%,19.3%,61.5%,8.7%,0.1%,2.2%
CALEDONIA MUMFORD,LIVINGSTON,993,98.8%,100.0%,9,0,4.0%,95.5%,31,745,741,35,92.8%,1.7%,3.2%,1.0%,0.0%,1.3%
BRASHER FALLS,SAINT LAWRENCE,988,100.0%,100.0%,0,0,3.7%,100.0%,37,988,950,0,94.1%,0.2%,1.4%,0.1%,1.3%,2.8%
SODUS,WAYNE,985,98.3%,100.0%,16,0,7.2%,100.0%,68,943,855,0,58.5%,9.0%,23.1%,0.2%,0.2%,8.9%
CANISTEO-GREENWOOD CSD,STEUBEN,982,92.0%,100.0%,79,0,0.0%,100.0%,0,982,903,0,95.9%,0.9%,1.3%,0.6%,0.2%,1.0%
ALEXANDRIA CSD,JEFFERSON,980,83.5%,100.0%,166,0,2.4%,100.0%,24,980,814,0,94.9%,0.9%,2.6%,0.0%,0.4%,1.3%
PULASKI,OSWEGO,975,100.0%,100.0%,0,0,1.8%,100.0%,18,975,957,0,96.0%,0.4%,1.3%,0.6%,0.2%,1.5%
SAG HARBOR,SUFFOLK,972,100.0%,100.0%,0,0,0.6%,100.0%,6,972,966,0,72.6%,2.9%,22.1%,2.4%,0.0%,0.0%
HOLLEY,ORLEANS,971,100.0%,93.4%,0,64,7.2%,92.1%,70,894,907,13,84.6%,1.0%,8.1%,0.5%,0.0%,5.7%
WHEATLAND CHILI,MONROE,965,100.0%,100.0%,0,0,4.1%,100.0%,40,965,925,0,70.2%,11.4%,9.8%,1.7%,0.5%,6.4%
EDWARDS-KNOX,SAINT LAWRENCE,962,99.6%,100.0%,4,0,8.1%,100.0%,80,982,902,0,96.7%,0.0%,1.0%,0.0%,0.4%,1.8%
CHESTER,ORANGE,953,100.0%,100.0%,0,0,0.6%,95.3%,6,900,946,44,45.7%,11.1%,34.9%,4.9%,0.0%,3.4%
RHINEBECK,DUTCHESS,951,100.0%,100.0%,0,0,0.5%,100.0%,5,951,946,0,80.7%,0.6%,10.1%,2.6%,0.1%,5.9%
AVON,LIVINGSTON,949,99.7%,100.0%,3,0,1.3%,100.0%,12,949,937,0,88.7%,2.0%,5.6%,1.3%,0.4%,2.0%
NORWOOD NORFOLK,SAINT LAWRENCE,943,99.1%,100.0%,8,0,6.6%,100.0%,62,943,870,0,97.0%,0.2%,0.9%,0.5%,0.5%,0.9%
WATKINS GLEN,SCHUYLER,942,96.8%,100.0%,31,0,20.4%,66.9%,196,942,736,467,90.4%,0.7%,3.5%,1.1%,0.4%,3.8%
PEMBROKE,GENESEE,942,100.0%,100.0%,0,0,1.7%,96.7%,16,911,926,31,93.8%,1.1%,1.6%,0.3%,0.1%,3.0%
HIGHLAND FALLS,ORANGE,938,91.9%,100.0%,76,0,2.6%,100.0%,24,938,838,0,56.6%,10.2%,26.9%,1.1%,0.0%,5.2%
GREENWICH,WASHINGTON,930,99.5%,100.0%,5,0,6.9%,89.5%,64,832,861,98,95.2%,1.3%,2.0%,1.0%,0.0%,0.5%
CHATHAM,COLUMBIA,927,100.0%,99.8%,0,2,2.4%,99.0%,22,912,897,7,87.1%,1.1%,6.8%,0.7%,0.1%,4.2%
GREENE,CHENANGO,927,100.0%,100.0%,0,0,2.2%,100.0%,21,927,942,0,94.5%,1.3%,2.4%,0.9%,0.8%,0.1%
SAUQUOIT VALLEY,ONEIDA,924,100.0%,100.0%,0,0,2.6%,58.3%,24,539,900,385,91.8%,0.7%,4.1%,0.4%,0.0%,3.1%
CAMPBELL-SAVONA,STEUBEN,923,97.6%,100.0%,22,0,15.9%,100.0%,147,923,754,0,94.3%,0.0%,1.9%,0.5%,0.4%,3.0%
SOUTH LEWIS,LEWIS,917,74.9%,100.0%,230,0,0.0%,100.0%,0,917,687,0,95.1%,0.8%,2.1%,0.3%,0.0%,1.8%
HOOSIC VALLEY,RENSSELAER,914,99.6%,100.0%,4,0,1.0%,100.0%,9,914,915,0,95.8%,0.6%,0.9%,0.2%,0.0%,2.5%
MORAVIA,CAYUGA,910,100.0%,96.9%,0,28,11.0%,96.9%,100,882,813,0,95.8%,0.3%,2.2%,0.1%,0.1%,1.5%
TRI VALLEY,SULLIVAN,907,98.4%,100.0%,14,0,4.1%,86.4%,37,784,851,123,80.3%,2.6%,13.3%,0.5%,0.1%,3.2%
SHERMAN,CHAUTAUQUA,904,100.0%,100.0%,0,0,17.7%,100.0%,160,904,744,0,95.6%,0.2%,2.1%,0.2%,0.7%,1.2%
LETCHWORTH,WYOMING,896,99.3%,100.0%,6,0,0.9%,100.0%,8,896,882,0,96.0%,0.8%,2.0%,0.4%,0.3%,0.4%
GANANDA,WAYNE,892,100.0%,100.0%,0,0,2.6%,100.0%,23,892,869,0,84.5%,1.0%,7.6%,1.8%,0.0%,5.1%
SCHODACK,RENSSELAER,891,100.0%,87.9%,0,104,4.8%,73.8%,43,634,849,121,92.6%,1.0%,3.7%,0.2%,0.0%,2.5%
FRANKFORT-SCHUYLER,HERKIMER,886,100.0%,100.0%,0,0,7.8%,80.6%,69,629,817,151,93.3%,0.8%,1.6%,0.6%,0.1%,3.6%
LIVINGSTON MANOR,SULLIVAN,884,87.8%,60.3%,81,342,2.1%,14.6%,14,126,569,394,77.0%,7.0%,11.5%,0.9%,0.0%,3.6%
CATO MERIDIAN,CAYUGA,878,97.5%,100.0%,22,0,3.4%,66.4%,30,583,826,295,92.2%,0.7%,2.5%,0.5%,0.5%,3.7%
RANDOLPH,CATTARAUGUS,873,99.3%,100.0%,6,0,24.5%,100.0%,214,873,653,0,87.9%,0.7%,2.9%,0.1%,5.0%,3.4%
PINE PLAINS,DUTCHESS,872,100.0%,100.0%,0,0,6.5%,100.0%,57,872,815,0,79.1%,0.2%,12.3%,0.5%,0.1%,7.8%
SCHOHARIE,SCHOHARIE,864,99.0%,87.9%,9,105,2.7%,75.8%,23,657,830,105,94.1%,0.9%,3.0%,0.1%,0.0%,1.9%
UNADILLA VALLEY,CHENANGO,862,46.4%,100.0%,462,0,11.6%,100.0%,100,862,300,0,95.2%,1.1%,1.5%,0.4%,0.6%,1.1%
WALTON,DELAWARE,858,90.9%,98.4%,78,14,0.0%,98.4%,0,844,780,0,96.3%,0.7%,2.1%,0.6%,0.0%,0.2%
EAST BLOOMFIELD,ONTARIO,857,100.0%,98.6%,0,12,0.7%,98.6%,6,845,851,0,91.9%,0.5%,3.2%,1.1%,0.1%,3.2%
CANAJOHARIE,MONTGOMERY,854,77.6%,100.0%,196,0,5.7%,95.9%,50,812,628,35,93.0%,1.3%,2.3%,0.5%,0.0%,2.9%
WESTMORELAND,ONEIDA,847,100.0%,100.0%,0,0,1.1%,99.1%,9,839,839,8,95.6%,1.3%,2.0%,0.4%,0.0%,0.7%
MILLBROOK,DUTCHESS,834,97.9%,100.0%,18,0,2.5%,100.0%,21,834,813,0,77.3%,2.5%,14.3%,0.6%,0.0%,5.3%
GENESEO,LIVINGSTON,829,100.0%,100.0%,0,0,10.7%,72.6%,89,602,740,227,80.2%,1.6%,12.4%,1.6%,0.2%,4.0%
WARSAW,WYOMING,829,57.2%,74.0%,355,223,8.3%,66.6%,69,572,405,64,91.6%,0.8%,3.5%,1.0%,0.1%,3.0%
BYRON BERGEN,GENESEE,822,100.0%,100.0%,0,0,0.0%,100.0%,0,788,788,0,88.9%,1.4%,6.5%,0.7%,0.0%,2.5%
RED CREEK,WAYNE,820,92.1%,100.0%,65,0,10.7%,100.0%,88,820,667,0,95.2%,1.0%,1.6%,0.7%,0.2%,1.2%
LAFAYETTE,ONONDAGA,813,100.0%,100.0%,0,0,17.1%,100.0%,139,813,674,0,58.3%,0.8%,1.0%,0.5%,38.1%,1.4%
CAMBRIDGE,WASHINGTON,812,100.0%,100.0%,0,0,0.8%,50.0%,6,794,789,794,92.2%,3.1%,2.3%,1.3%,1.0%,0.1%
ONONDAGA,ONONDAGA,810,78.6%,62.0%,220,288,0.5%,28.0%,5,212,804,258,72.7%,11.5%,5.3%,0.6%,2.7%,7.2%
SPENCER VAN ETTEN,TIOGA,808,94.7%,100.0%,43,0,0.0%,100.0%,0,808,765,0,93.8%,0.9%,2.0%,0.9%,0.2%,2.2%
UNION SPRINGS,CAYUGA,805,100.0%,100.0%,0,0,7.6%,100.0%,61,805,744,0,89.2%,1.3%,6.4%,1.0%,0.0%,2.1%
GALWAY,SARATOGA,804,99.8%,100.0%,2,0,6.2%,100.0%,50,804,752,0,98.9%,0.2%,0.2%,0.2%,0.0%,0.4%
CASSADAGA VALLEY,CHAUTAUQUA,803,100.0%,100.0%,0,0,8.1%,100.0%,66,803,749,0,92.8%,1.2%,1.9%,0.6%,0.1%,3.3%
DOLGEVILLE,HERKIMER,801,80.6%,100.0%,141,0,4.8%,100.0%,35,801,550,0,99.3%,0.6%,0.0%,0.2%,0.0%,0.0%
GROTON,TOMPKINS,798,92.3%,100.0%,61,0,0.0%,100.0%,0,718,734,0,89.6%,1.6%,3.2%,1.1%,0.1%,4.3%
PERRY,WYOMING,793,79.9%,100.0%,159,0,0.0%,100.0%,0,793,634,0,90.4%,0.9%,5.7%,1.4%,0.0%,1.6%
BEAVER RIVER,LEWIS,793,93.4%,77.6%,53,178,0.0%,77.6%,0,618,746,0,98.1%,1.1%,0.6%,0.1%,0.0%,0.0%
THOUSAND ISLANDS,JEFFERSON,785,88.9%,100.0%,77,0,0.0%,100.0%,0,785,616,0,91.6%,1.0%,3.0%,0.3%,0.5%,3.6%
HALDANE,PUTNAM,784,100.0%,100.0%,0,0,1.1%,79.9%,9,646,775,163,82.5%,1.6%,10.4%,3.7%,0.1%,1.6%
HOLLAND,ERIE,784,99.7%,100.0%,2,0,1.1%,100.0%,9,784,773,0,95.9%,0.3%,1.6%,0.1%,0.3%,1.8%
MANCHSTR-SHRTSVLLE,ONTARIO,782,100.0%,100.0%,0,0,5.0%,100.0%,39,757,743,0,87.1%,0.5%,7.0%,0.6%,0.3%,4.5%
BAINBRIDGE GUILFRD,CHENANGO,780,99.6%,100.0%,3,0,3.7%,100.0%,29,780,751,0,90.5%,0.6%,3.8%,0.8%,0.3%,4.0%
CUBA-RUSHFORD,ALLEGANY,776,89.8%,100.0%,80,0,2.2%,96.0%,17,745,688,31,92.9%,2.7%,2.2%,0.9%,0.4%,0.9%
NORTHRN ADIRONDACK,CLINTON,776,69.8%,88.5%,234,90,0.0%,11.6%,0,91,542,604,99.0%,0.3%,0.4%,0.3%,0.0%,0.1%
OAKFIELD ALABAMA,GENESEE,775,96.8%,100.0%,25,0,10.7%,100.0%,83,739,667,0,93.4%,0.9%,3.9%,0.5%,0.0%,1.3%
BARKER,NIAGARA,768,100.0%,100.0%,0,0,36.5%,100.0%,280,778,488,0,88.3%,0.4%,6.7%,0.1%,0.0%,4.5%
BRUSHTON MOIRA,FRANKLIN,767,100.0%,100.0%,0,0,3.0%,84.5%,23,648,745,119,96.2%,0.8%,0.3%,0.5%,0.5%,1.7%
FREWSBURG,CHAUTAUQUA,763,100.0%,100.0%,0,0,2.2%,100.0%,17,763,746,0,93.8%,0.3%,2.2%,0.4%,0.5%,2.8%
FLORIDA,ORANGE,760,100.0%,100.0%,0,0,4.5%,100.0%,34,760,725,0,60.1%,5.7%,29.0%,2.9%,0.0%,2.4%
SOUTHOLD,SUFFOLK,759,100.0%,100.0%,0,0,2.9%,94.4%,22,731,737,43,62.9%,1.8%,31.8%,2.1%,0.0%,1.3%
COOPERSTOWN,OTSEGO,759,94.2%,100.0%,44,0,5.4%,100.0%,41,759,675,0,89.7%,1.1%,3.1%,5.2%,0.0%,0.9%
ODESSA MONTOUR,SCHUYLER,753,30.0%,43.4%,529,440,0.0%,19.3%,0,150,227,187,94.2%,0.1%,1.1%,0.5%,0.3%,3.8%
PORT BYRON,CAYUGA,748,86.5%,100.0%,101,0,3.6%,100.0%,27,748,620,0,94.8%,0.5%,2.3%,0.0%,0.0%,2.4%
WEEDSPORT,CAYUGA,746,98.3%,100.0%,13,0,1.3%,53.5%,10,433,733,376,91.0%,0.1%,3.9%,0.7%,0.5%,3.7%
TUPPER LAKE,FRANKLIN,745,100.0%,100.0%,0,0,1.8%,97.7%,13,728,729,17,94.3%,0.1%,1.9%,0.4%,0.5%,2.7%
DELAWARE ACADEMY-DELHI,DELAWARE,737,100.0%,97.3%,0,20,0.3%,97.3%,2,717,735,0,96.1%,0.6%,1.0%,0.6%,0.0%,1.8%
CANDOR,TIOGA,733,95.1%,100.0%,31,0,3.3%,100.0%,21,733,581,0,93.3%,0.7%,2.7%,0.3%,0.1%,2.9%
WATERFORD,SARATOGA,731,99.2%,100.0%,6,0,0.8%,43.9%,6,573,725,731,88.6%,1.4%,3.5%,1.8%,0.1%,4.6%
SANDY CREEK,OSWEGO,731,98.6%,100.0%,10,0,0.7%,100.0%,5,731,718,0,96.2%,0.4%,1.1%,0.8%,0.3%,1.1%
TICONDEROGA,ESSEX,730,80.9%,81.6%,138,133,0.0%,70.1%,0,507,585,83,97.7%,1.0%,0.0%,1.2%,0.1%,0.0%
CHAUTAUQUA LAKE,CHAUTAUQUA,725,95.8%,98.3%,30,12,0.1%,97.0%,1,701,680,10,95.7%,0.0%,2.5%,0.0%,0.1%,1.7%
YORK,LIVINGSTON,721,100.0%,100.0%,0,0,8.3%,100.0%,60,721,661,0,94.0%,0.3%,3.9%,0.4%,0.1%,1.2%
OPPENHEIM-EPHRATAH-ST. JOHNSV,FULTON,721,100.0%,96.5%,0,25,2.9%,96.5%,21,696,700,0,97.5%,0.7%,1.4%,0.3%,0.0%,0.1%
OTEGO-UNADILLA,OTSEGO,713,97.0%,100.0%,21,0,4.7%,99.7%,33,711,653,2,88.0%,2.2%,5.3%,0.8%,0.0%,3.6%
FORT PLAIN,MONTGOMERY,712,96.6%,100.0%,25,0,6.9%,100.0%,51,712,661,0,87.9%,1.3%,6.1%,0.4%,0.0%,4.3%
ISLAND PARK,NASSAU,705,100.0%,100.0%,0,0,2.6%,100.0%,18,705,687,0,48.6%,3.4%,41.3%,3.4%,0.4%,2.8%
NEWFIELD,TOMPKINS,703,74.4%,100.0%,180,0,6.4%,76.4%,45,537,478,166,80.3%,4.7%,3.0%,0.0%,0.6%,11.4%
LAKE GEORGE,WARREN,702,100.0%,100.0%,0,0,1.6%,100.0%,11,702,660,0,93.1%,1.7%,1.7%,1.9%,0.1%,1.4%
BERNE KNOX,ALBANY,701,77.9%,72.2%,157,194,10.4%,22.8%,74,159,478,344,93.4%,0.4%,2.7%,0.6%,0.1%,2.7%
WATERVILLE,ONEIDA,699,100.0%,100.0%,0,0,19.6%,100.0%,137,698,562,0,97.6%,0.3%,1.6%,0.1%,0.0%,0.4%
WHITEHALL,WASHINGTON,693,96.8%,97.7%,22,16,0.0%,97.7%,0,677,671,0,97.7%,0.9%,1.0%,0.3%,0.1%,0.0%
HARRISVILLE,LEWIS,688,99.4%,100.0%,4,0,13.1%,100.0%,90,688,594,0,92.8%,0.3%,2.9%,0.9%,1.2%,2.0%
BOLIVAR-RICHBURG,ALLEGANY,685,86.0%,100.0%,96,0,0.0%,100.0%,0,685,589,0,97.1%,0.7%,0.6%,0.0%,0.0%,1.6%
SOUTHERN CAYUGA,CAYUGA,681,100.0%,100.0%,0,0,4.6%,53.7%,31,532,650,458,82.5%,0.6%,12.7%,1.1%,0.6%,2.4%
OXFORD,CHENANGO,674,98.5%,100.0%,10,0,0.0%,100.0%,0,674,665,0,92.6%,1.5%,3.6%,0.3%,0.7%,1.3%
EAST MORICHES,SUFFOLK,673,99.1%,100.0%,6,0,0.9%,6.0%,6,40,671,622,80.3%,2.5%,13.0%,1.3%,0.0%,2.9%
